room,game,move,condition,player,chosen_arm,arm,value
13,0,0,partial,0,2,0,0.0
13,0,0,partial,0,2,1,0.0
13,0,0,partial,0,2,2,0.0
13,0,0,partial,0,2,3,0.0
13,0,1,partial,1,4,0,0.0
13,0,1,partial,1,4,1,0.0
13,0,1,partial,1,4,2,0.0
13,0,1,partial,1,4,3,0.0
13,0,2,partial,0,3,0,0.0
13,0,2,partial,0,3,1,1.0
13,0,2,partial,0,3,2,0.0
13,0,2,partial,0,3,3,0.0
13,0,3,partial,1,3,0,0.0
13,0,3,partial,1,3,1,0.0
13,0,3,partial,1,3,2,0.0
13,0,3,partial,1,3,3,0.0
13,0,4,partial,0,1,0,0.0
13,0,4,partial,0,1,1,1.0
13,0,4,partial,0,1,2,0.5
13,0,4,partial,0,1,3,0.0
13,0,5,partial,1,2,0,0.0
13,0,5,partial,1,2,1,0.0
13,0,5,partial,1,2,2,0.0
13,0,5,partial,1,2,3,0.0
13,0,6,partial,0,1,0,0.0
13,0,6,partial,0,1,1,0.5
13,0,6,partial,0,1,2,0.5
13,0,6,partial,0,1,3,0.0
13,0,7,partial,1,2,0,0.5
13,0,7,partial,1,2,1,0.0
13,0,7,partial,1,2,2,0.0
13,0,7,partial,1,2,3,0.0
13,0,8,partial,0,1,0,0.5
13,0,8,partial,0,1,1,0.333333333333
13,0,8,partial,0,1,2,0.5
13,0,8,partial,0,1,3,0.0
13,0,9,partial,1,1,0,0.333333333333
13,0,9,partial,1,1,1,0.0
13,0,9,partial,1,1,2,0.0
13,0,9,partial,1,1,3,0.0
13,0,10,partial,0,1,0,0.25
13,0,10,partial,0,1,1,0.333333333333
13,0,10,partial,0,1,2,0.5
13,0,10,partial,0,1,3,0.0
13,0,11,partial,1,1,0,0.4
13,0,11,partial,1,1,1,0.0
13,0,11,partial,1,1,2,0.0
13,0,11,partial,1,1,3,0.0
13,0,12,partial,0,2,0,0.333333333333
13,0,12,partial,0,2,1,0.333333333333
13,0,12,partial,0,2,2,0.5
13,0,12,partial,0,2,3,0.0
13,0,13,partial,1,2,0,0.333333333333
13,0,13,partial,1,2,1,0.0
13,0,13,partial,1,2,2,0.0
13,0,13,partial,1,2,3,0.0
13,0,14,partial,0,1,0,0.333333333333
13,0,14,partial,0,1,1,0.2
13,0,14,partial,0,1,2,0.5
13,0,14,partial,0,1,3,0.0
13,0,15,partial,1,1,0,0.285714285714
13,0,15,partial,1,1,1,0.0
13,0,15,partial,1,1,2,0.0
13,0,15,partial,1,1,3,0.0
13,0,16,partial,0,2,0,0.25
13,0,16,partial,0,2,1,0.2
13,0,16,partial,0,2,2,0.5
13,0,16,partial,0,2,3,0.0
13,0,17,partial,1,1,0,0.25
13,0,17,partial,1,1,1,0.0
13,0,17,partial,1,1,2,0.0
13,0,17,partial,1,1,3,0.0
13,0,18,partial,0,2,0,0.222222222222
13,0,18,partial,0,2,1,0.166666666667
13,0,18,partial,0,2,2,0.5
13,0,18,partial,0,2,3,0.0
13,0,19,partial,1,2,0,0.222222222222
13,0,19,partial,1,2,1,0.0
13,0,19,partial,1,2,2,0.0
13,0,19,partial,1,2,3,0.0
13,0,20,partial,0,2,0,0.222222222222
13,0,20,partial,0,2,1,0.25
13,0,20,partial,0,2,2,0.5
